REF;"TITRE UK";"CHAPO UK";"CHAPO FR";"DESCRIPTIF UK";"DESCRIPTIF FR";"POSTSCRIPTUM UK";"POSTSCRIPTUM FR";PRIX;PRIX2;PHOTO;BRAND;"COULEUR UK";"MATERIAL UK";"CONTENT UK";CATEGORIE
T7588NEHPA;;;"Capacité : 7 KG Dimension (L x P x H) : 540 x 540 x 850 Garantie 3 Ans Smart Motion";;"Machine A Laver LG top 7 kg BLANC Réference :T7588NEHPA Capacité : 7 KG Dimension (L x P x H) : 540 x 540 x 850 Économie d’énergie avec Smart Inverter Control Smart Motion TurboDrum™ LoDecibel™ et moins de vibrations Garantie 3 Ans";;;1309.0000;;machine-a-laver-lg-top-load-7kg-blanc-t7588nehpa-garantie-3-ans.jpg;LG;Blanc;;;"Gros Électroménager/MACHINE À LAVER/Machine À Laver Top;Gros Électroménager/MACHINE À LAVER;Gros Électroménager"
"Téléviseur SYINIX 43""";;;"TV LED 43 FULL HD SYINIX AVEC RECEPTEUR INTEGRE Garantie: 3 ANS";;"Technologie d’affichage : Rétro-éclairage LED– Solution d’affichage : 1920*1080p/16 :9– Taille d’affichage : 43 pouces (109 cm)– Dimensions : 1082*151*666 (en mm)– Connectivité : RF*2, VGA*1, HDMI*3, USB*2, AV in*2, Ecouteurs*1, COAX*1– Consommation d’énergie : 75W– Source de courant : AC 110-240V 50/60HZ– Puissance des speakers : 2*6W (Dolby)– Option Plug &amp; Play : Oui (Films, Musique, Images)";;;899.0000;;televiseur-syinix-43.jpg;Syinix;;;;"ÉLECTRONIQUE/TÉLÉVISEUR/LED TV;ÉLECTRONIQUE/TÉLÉVISEUR;ÉLECTRONIQUE"
L43F1FB;;;"Téléviseur VEGA 43"" Full HD - Résolution 1920 x 1080  - 3x HDMI - 1x VGA - 1x USB";;"Réf L43F1FB Téléviseur VEGA 43"" Full HD LED - Résolution 1920 x 1080 - Aspect ratio 16:9 - Luminosité: 250 cd/m² - Contraste 3000:1 - Angle de vue: 178° x 178° - Maximum colors 16.7M - Temps de réponse 6.5 ms - Sortie Audio: 2× 8W - 3x HDMI - 1x VGA - 1x USB - Couleur Noir - Garantie 3 ans";;;899.0000;;televiseur-vega-43-l43f1fb.png;VEGA;;;;"ÉLECTRONIQUE/TÉLÉVISEUR/LED TV;ÉLECTRONIQUE/TÉLÉVISEUR;ÉLECTRONIQUE"
SB40LED472R;;;"Réf : SB40LED472R Téléviseur SABA 40"" LED FULL HD - avec récepteur intégré - Résolution: 1920 x 1080 pixels  - TNT HD  Garantie 2 ans";;"Réf : SB40LED472R Téléviseur SABA 40"" LED FULL HD - avec récepteur intégré - Résolution: 1920 x 1080 pixels Connecteurs: 2 x HDMI, 2 x USB, 1 x VGA, 2 x Haut-parleurs, Tuner TNT - TNT HD  Garantie 2 ans";;;899.0000;;televiseur-saba-40-sb40led472r.png;SABA;;;;"ÉLECTRONIQUE/TÉLÉVISEUR/LED TV;ÉLECTRONIQUE/TÉLÉVISEUR;ÉLECTRONIQUE"
L50F2UB;;;"Vega Téléviseur 50'' Smart Ultra HD Android – L50F2UB + Air Mouse  Garantie 3 ans";;"Aspect ratio 16:9 Résolution 3840*2160px Brillance 250cd/m2+-20 Contraste 3000:1 Système : Android 7.0 RAM :1 GB Stockage :8 Go Maximum colors 16.7M Temps de réponse 6.5ms Égaliseurs : 4 Modes Connectivité: 1 sortie casque, 1 Pc aduio in , 1 Coaxial, 1 ANT TV, 1 RJ45 ,3 HDMI, 2 USB  + 1 Air  mouse Garantie 3 ans";;;1399.0000;;televiseur-led-vega-50-smart-tv-ultra-hd-4k-l50f2ub-garantie-3-ans.jpg;VEGA;;;;"ÉLECTRONIQUE/TÉLÉVISEUR/SMART TV;ÉLECTRONIQUE/TÉLÉVISEUR;ÉLECTRONIQUE"
L55F2UB;;;"TÉLÉVISEUR SMART VEGA 55"" L55F2UB LED Flat 55"" UHD 4K Smart Android TV Garantie 3 ans";;"La télè est aujourd'hui indispensable à notre vie de tous les jours :Elle représente une forme de divertissement très pratique et confortable. On n'est plus obligé de faire un détour au cinéma pour regarder un film. On peut savourer les meilleurs divertissements chez soi.Le petit écran est un passe - temps qui ne requiert qu'un effort minimal ( à l'opposé du livre, par exemple ). C'est la détente facile.C'est une medium de publicité extraordinaire, qui peut toucher des milions de gens simultanément avec des images et des sons et un excellent vecteur d'information sur ce qui se passe dans le monde qui nous aide à mieux comprendre les événements de la planète.";;;1289.0000;;televiseur-vega-55-smart-android-tv-4k-noir-l55f2ub-garantie-3-ans.jpg;VEGA;Noir;;;"ÉLECTRONIQUE/TÉLÉVISEUR/SMART TV;ÉLECTRONIQUE/TÉLÉVISEUR;ÉLECTRONIQUE"
L65F1UB;;;;;;;;2600.0000;;televiseur-vega-65-l65f1ub.jpg;VEGA;;;;"ÉLECTRONIQUE/TÉLÉVISEUR/SMART TV;ÉLECTRONIQUE/TÉLÉVISEUR;ÉLECTRONIQUE"
725X;;;"Four Ventilé 10 programmes Inox 60 CM 61 Litres Chaleur tournant Classe Énergétique A";;"Four Ventilé 10 programmes Inox 60 CM Boutons 61 Litres Chaleur tournante Minuterie mécanique Porte froide Classe Énergétique A";;;805.0000;;four-focus-725x.jpg;FOCUS;;;;"ENCASTRABLE/FOUR ENCASTRABLE/Four Encastrable Electrique;ENCASTRABLE;ENCASTRABLE/FOUR ENCASTRABLE"
32B6000HW;;;"Réf:32B6000HW-Téléviseur LED HD 32"" - Smart TV - Wifi  - Résolution: 1366 x 768   Garantie 2 ans";;"Réf: 32B6000HW - LED HD 32"" - Smart TV - Wifi  - Résolution: 1366 x 768 - Rapport de contraste 4000: 1 - Angle de vision (Horiz / Vert): 178°/178° - DVB-T / DVB-T2 - 2x USB 2.0 - 2x HDMI - Ethernet 1x RJ45 - 1x Prise casque - Dimensions: 730 x 479 x 193 mm -Garantie 2 ans";;;650.0000;;televiseur-hisense-32-32b6000hw.png;HISENSE;;;;"ÉLECTRONIQUE/TÉLÉVISEUR/SMART TV;ÉLECTRONIQUE/TÉLÉVISEUR;ÉLECTRONIQUE"
40A5607PW;;;"Réf : 40A5607PW Ecran 40 pouces FULL HD Smart TV Résolution 1 920 x 1080 Récepteur intégré Garantie 2 ans";;"Réf : 40A5607PWEcran 40 pouces FULL HD Smart TV   Résolution 1 920 x 1080  Récepteur intégré TUNER T2/C/S2 2 x HDMI - 1 x USB 1x Audio (L/R) Input / 1x Prise casque 2x Prises antennes / Puissance des haut-parleurs: 2x 6W / Dolby Digital AC3 Garantie 2 ans";;;1099.0000;;televiseur-hisense-40-40a5607pw.png;HISENSE;;;;"ÉLECTRONIQUE/TÉLÉVISEUR/SMART TV;ÉLECTRONIQUE/TÉLÉVISEUR;ÉLECTRONIQUE"
43A5607PW;;;"Téléviseur HISENSE 43"" LED Full HD SMART TV - Récepteur intégré  - Résolution: 1920 x 1080 pixels ";;"Référence 43A5607PW Téléviseur HISENSE 43"" LED Full HD SMART TV - Récepteur intégré  - Résolution: 1920 x 1080 pixels  - SLIM Design - Sortie Haut-Parleurs: 2 x 6w - Tuner: T2/C/S2 - Connectivité: WiFi  - Connecteur: 2 x HDMI, 1 x USB 2.0, 1 x Entrée Audio (L/R), 1 x Prise casque, 2 x Prises antennes - Dimensions: 970 x 76.5 x 573 mm - Garantie: 2 ans";;;1199.0000;;televiseur-led-hisense-43-full-hd-43a5607pw-noir-garantie-2-ans.jpg;HISENSE;Noir;;;"ÉLECTRONIQUE/TÉLÉVISEUR/SMART TV;ÉLECTRONIQUE/TÉLÉVISEUR;ÉLECTRONIQUE"
BAL72WW;;;"Machine à Laver Frontale BRANDT - Capacité de lavage: 7 Kg - Vitesse d'essorage: 1200 tr/min - Classe énergétique: A+++ - Nombre de programmes: 9 Programmes - Alimentation: 220-240/50hz - Couleur: Blanc - Garantie: 2 ans";;"Machine à laver Frontale Brandt - Capacité de lavage: 7 Kg - Vitesse d'essorage: 1200 tr/min - Classe énergétique: A +++ - Nombre de programmes: 9 Programmes - Gamme Intellect - Couleur Porte: Blanc - Couleur: Blanc - Garantie: 2 ans &nbsp;";;;929.0000;;machine-a-laver-7-kg-intellect-technologie-bal72ww-blanc-garantie-2-ans.jpg;BRANDT;Blanc;;;"Gros Électroménager/MACHINE À LAVER/Machine À Laver Frontale;Gros Électroménager/MACHINE À LAVER;Gros Électroménager"
BAL82WS;;;"Machine à laver BRANDT Frontale - Capacité de lavage: 8 Kg - Vitesse d'essorage: 1200 tr/min - Classe énergétique: A +++ - Nombre de programmes: 9 Programmes - Gamme Intellect - Couleur: Blanc - Garantie: 2 ans + Table à repasser  Gratuit (TAB-REPASSER_BRAND)";;"Machine à laver BRANDT Frontale - Capacité de lavage: 8 Kg  - Vitesse d'essorage: 1200 tr/min  - Classe énergétique: A +++  - Nombre de programmes: 9 Programmes  - Gamme Intellect - Couleur Porte: Silver  - Couleur: Blanc  - Garantie: 2 ans";;;1129.0000;;"machine-a-laver-8-kg-intellect-technologie-bal82ws-blanc-garantie-2-ans-1.jpg;machine-a-laver-brandt-frontale-8-kg-blanc-bal82wstable-a-repasser-gratuit.jpg;machine-a-laver-8-kg-intellect-technologie-bal82ws-blanc-garantie-2-ans-1.jpg";BRANDT;Blanc;;;"Gros Électroménager/MACHINE À LAVER/Machine À Laver Frontale;Gros Électroménager/MACHINE À LAVER;Gros Électroménager"
DFH13217W;;;"Couleur de la porte: Blanc Garantie 2 Ans Nombre de couverts: 13 couverts";;"Brandt DFH13217W. Rangement: Autonome Couleur de la porte: Blanc Taille du produit: Taille maximum (60 cm ) Garantie 2 Ans Nombre de couverts: 13 places Niveau sonore: 47 dB Classe de séchage: A. Réglage des pieds: 3 cm. Classe d'efficacité énergétique: A++ Consommation d'énergie par cycle: 0,92 kWh Consommation d'eau par cycle: 11 L. Largeur: 598 mm Profondeur: 600 mm Hauteur: 845 mm";;;1149.0000;;lave-vaisselles-13-couverts-6-programmes-dfh13217w-blanc-garantie-2-ans-1.jpg;BRANDT;Blanc;;;"Gros Électroménager/LAVE VAISSELLE/Lave Vaisselle Pose Libre;Gros Électroménager/LAVE VAISSELLE;Gros Électroménager"
WMY81283LMX;;;"Lave-linge à chargement frontal - Capacité: 8 kg - Affichage LED - 16 programmes - Classe énergétique A+++ - Sécurité anti-débordement - Verrouillage Enfant - Nombre de tours: 1200 rpm - Dimensions: 54 x 84 x 60 cm - Couleur Silver - Garantie 3 ans";;"Lave-linge à chargement frontal Capacité: 8 kg Affichage LED 16 programmes Classe énergétique A+++ Sécurité anti-débordement Verrouillage Enfant  Nombre de tours: 1200 rpm  Dimensions: 54 x 84 x 60 cm  Couleur Silver Garantie 3 ans";;;1449.0000;;machine-a-laver-8kg-pro-smart-inverter-silver-garantie-3-ans-1.jpg;;Silver;;;"Gros Électroménager/MACHINE À LAVER/Machine À Laver Frontale;Gros Électroménager/MACHINE À LAVER;Gros Électroménager"
WF6-A12W;;;"Lave linge Frontale CONDOR -  Capacité de lavage: 6 Kg - Puissance nominale: 1950 Watts - Vitesse d’essorage: 1000 tours/min - Classe énergétique: A++ - Nombre de programme: 15 Programmes - Afficheur: LED - Alimentation: 220-240 V/ 50 hz - Dimensions: 595 x 470 x 850 mm - Poids: 57 kg - Couleur: Blanc - Garantie: 2 ans";;"Lave linge Frontale CONDOR 6Kg -  Capacité de lavage: 6 Kg  - Puissance nominale: 1950 Watts  - Vitesse d’essorage: 1000 tours/min  - Classe énergétique: A++ - Nombre de programme: 15 Programmes  - Afficheur: LED - Alimentation: 220-240 V/ 50 hz - Dimensions: 595 x 470 x 850 mm - Poids: 57 kg - Couleur: Blanc - Garantie: 2 ans";;;899.0000;;"Lave-linge-Frontale-CONDOR-WF6-A12W-6Kg-Blanc-1.jpg;Lave-linge-Frontale-CONDOR-WF6-A12W-6Kg-Blanc-1.jpg";CONDOR;Blanc;;;"Gros Électroménager/MACHINE À LAVER/Machine À Laver Frontale;Gros Électroménager/MACHINE À LAVER;Gros Électroménager"
WE0842;;;"Capacité 5 kg  Vitesse de rotation 800 tr Classe énergétique A+  Couleur Blanc ";;"Machine à laver Automatique frontale  Capacité 5 kg  Garantie 2 Ans Vitesse de rotation 800 trs/min  Classe énergétique A+  Afficheur Dimensions 600 x 610 mm  Couleur Blanc ";;;799.0000;;machine-a-laver-automatique-saba-5-kg-800-tours-we0842-blanc-garantie-2-ans-1.jpg;SABA;Blanc;;;"Gros Électroménager/MACHINE À LAVER/Machine À Laver Frontale;Gros Électroménager/MACHINE À LAVER;Gros Électroménager"
RB31FSRNDSA;;;"Réfrigérateur Combiné SAMSUNG RB31FSRNDSA 310 Litres Silver";;"Réfrigérateur Combiné SAMSUNG RB31FSRNDSA 2 portes réversibles - Volume Brut: 310 Litres  - Volume Net de Réfrigérateur: 213 Litres  - Volume Net de Congélateur: 98 Litres  - Classe Énergétique:  A+  - Poignée de porte encastré  - Compresseur Digital Inverter  - Compartiments de congélation: 3 x Tiroirs à fruits et légumes, Bac à glaçon  - Compartiment de réfrigération: 4 x étagères, 1 x Clayette (Silde Out), 1 x Compartiment pour Produits laitiers, 4 x porte Pocket, 1 x tiroir à fruits et légumes  - Couleur: Silver - Garantie: 2 ans";;;1749.0000;;refrigerateur-samsung-combine-rb31fsrndsa-310-litres-silver-garantie-2-ans-1.jpg;Samsung;;;;"Gros Électroménager/RÉFRIGÉRATEUR/Réfrigérateur Combiné;Gros Électroménager/RÉFRIGÉRATEUR;Gros Électroménager"
UA40N5000;;;"Référence : UA40N5000 TV LED SAMSUNG 40″ FULL HD, 2 HDMI 1 USB Garantie 2 ans";;"FULL HD Resolution: 1920*1080 Wide Color Enhancer Dynamic Contrast Ratio : Mega contrast Récepteur intégré 2 HMDI connections 1 USB connections Dolby Digital Plus Digital Clean View Design : Slim Edge Mold Garantie El Athir 2 ans";;;1100.0000;;televiseur-samsung-40-ua40n5000.png;Samsung;;;;"ÉLECTRONIQUE/TÉLÉVISEUR/LED TV;ÉLECTRONIQUE/TÉLÉVISEUR;ÉLECTRONIQUE"
UA40N5300;;;"Référence : UA40N5300 TV LED SAMSUNG 40″ FULL HD SMART, Série 5, 2 HDMI 1 USB Garantie 2 ans";;"Téléviseur SAMSUNG 40″ Full HD Smart TVRésolution: 1920 x 1080 pixelsPicture Engine: HyperRealTaux de mouvement: 50Rapport de Contraste: Méga-contrasteAudio: Dolby Digital Plus Puissance sonore: 20 WattsTuner analogiqueConnecteurs:  2 x HDMI . 1 x USBDimensions: 917,1 x 527,7 x 77,0 mm Garantie: 2 ans";;;1249.0000;;televiseur-led-samsung-40-smart-tv-ua40n5300-garantie-2-ans-1.jpg;Samsung;;;;"ÉLECTRONIQUE/TÉLÉVISEUR/SMART TV;ÉLECTRONIQUE/TÉLÉVISEUR;ÉLECTRONIQUE"
725B;;;"Four Ventilé 10 programmes Noir 60 CM Boutons 61 Litres Chaleur tournante Minuterie mécanique Porte froide Classe Énergétique A";;"Four Ventilé 10 programmes Noir 60 CM Boutons 61 Litres Chaleur tournante Minuterie mécanique Porte froide Classe Énergétique A";;;805.0000;;four-focus-725b.jpg;FOCUS;;;;"ENCASTRABLE/FOUR ENCASTRABLE/Four Encastrable Electrique;ENCASTRABLE;ENCASTRABLE/FOUR ENCASTRABLE"
UA43N5300;;;"LED SAMSUNG 43"" Full HD Smart TV Serie 5 - Résolution: 1920 x 1080 pixels  - Garantie: 2 ans";;"LED SAMSUNG 43"" Full HD Smart TV Serie 5 - Résolution: 1920 x 1080 pixels  - Picture Engine: HyperReal  - Taux de mouvement: 50  - Rapport de Contraste: Méga-contraste  - Audio: Dolby Digital Plus  - Puissance sonore: 20 Watts  - Tuner analogique  - Connectivité: Wi-Fi  - Connecteurs:  2 x HDMI - 1 x USB, 1 x Entreé composant, 1 x Entrée AV, 1 x Sortie Audio numérique, 1 x Entreé RF  - Dimensions: 979.9 x 571.9 x 77.3 mm - Poids: 8 kg  - Garantie: 2 ans";;;1300.0000;;televiseur-samsung-43-ua43n5300.jpg;Samsung;;;;"ÉLECTRONIQUE/TÉLÉVISEUR/SMART TV;ÉLECTRONIQUE/TÉLÉVISEUR;ÉLECTRONIQUE"
UA49N5000;;;"Référence UA49N5000 -Résolution: 1920x1080 pixels  - Garantie: 2 ans";;"Référence UA49N5000 - Résolution: 1920x1080 pixels - Picture Engine: HyperReal - Taux de mouvement: 60 - Indice de qualité d'image: 300 - Méga-contraste - Audio: Dolby Digital Plus - Puissance sonore: 20 Watts - haut-parleur: 2CH -Tuner DVB-T2 - Connecteurs:  2 x HDMI - 1 x USB, 1 x Entreé composant, 1 x Entrée AV, 1 x Sortie Audio numérique, 1 x Entreé RF  - Garantie: 2 ans";;;1550.0000;;televiseur-samsung-49-ua49n5000.png;Samsung;;;;"ÉLECTRONIQUE/TÉLÉVISEUR/LED TV;ÉLECTRONIQUE/TÉLÉVISEUR;ÉLECTRONIQUE"
