"TITLE FR";"TITLE UK";"CHAPO FR";"CHAPO UK";"DESCRIPTIF FR";"DESCRIPTIF UK";PHOTO;"FOLDERS UK"
"Magasin d'Électroménager";"Magasin d'Électroménager";;;;;;Information
Cart;Cart;;;[woocommerce_cart];[woocommerce_cart];;Information
Checkout;Checkout;;;[woocommerce_checkout];[woocommerce_checkout];;Information
"My account";"My account";;;[woocommerce_my_account];[woocommerce_my_account];;Information
Wishlist;Wishlist;;;[yith_wcwl_wishlist];[yith_wcwl_wishlist];;Information
Wishlist;Wishlist;;;[yith_wcwl_wishlist];[yith_wcwl_wishlist];;Information
Magasin électroménager tunisie;Magasin électroménager tunisie;;;"Électroménager de Qualité à Prix Compétitifs en Tunisie : Electro Hadj Kacem Si vous recherchez le meilleur choix d'appareils électroménagers de qualité à des prix compétitifs en Tunisie, ne cherchez pas plus loin. Electro Hadj Kacem est votre destination de confiance pour tous vos besoins en électroménager. Dans cet article, nous mettons en lumière les raisons pour lesquelles Electro Hadj Kacem est votre partenaire idéal pour l'électroménager en Tunisie.Electro Hadj Kacem est bien plus qu'une simple boutique en ligne d'électroménager en Tunisie, c'est votre partenaire de confiance pour équiper votre maison avec des appareils de qualité. Notre engagement envers l'électroménager de haute qualité nous a permis de devenir la référence incontestée dans le domaine. Que vous recherchiez un réfrigérateur, une machine à laver, un four, ou tout autre appareil, nous avons une gamme complète de produits des marques les plus réputées du marché. Chez Electro Hadj Kacem, l'électroménager n'est pas seulement notre métier, c'est notre passion.Lorsque vous faites vos achats d'électroménager chez Electro Hadj Kacem, vous bénéficiez de bien plus que des produits de qualité. Vous bénéficiez également de notre engagement envers un service client exceptionnel. Notre équipe dévouée est là pour répondre à toutes vos questions, vous guider dans votre choix et vous assurer que votre expérience d'achat est fluide et agréable. De plus, notre livraison rapide dans toute la Tunisie vous permet de recevoir vos appareils rapidement à votre porte, sans tracas ni soucis. Chez Electro Hadj Kacem, nous sommes fiers de simplifier la vie de nos clients en leur fournissant les meilleurs électroménagers et un service de classe mondiale.En choisissant Electro Hadj Kacem comme votre destination d'électroménager en Tunisie, vous optez pour la qualité, la fiabilité et la commodité. Nous sommes déterminés à vous fournir les meilleurs produits, des marques de confiance, et des prix compétitifs pour répondre à tous vos besoins en matière d'électroménager.Faites confiance à Electro Hadj Kacem pour équiper votre maisonLivraison Express dans Toute la TunisieChez Electro Hadj Kacem, nous comprenons l'importance de la livraison rapide. C'est pourquoi nous offrons une livraison express dans toute la Tunisie. Vous pouvez faire vos achats en ligne en toute tranquillité, sachant que vos produits vous parviendront rapidement à votre porte.Une Large Sélection de Produits de QualitéChez Electro Hadj Kacem, nous comprenons l'importance des appareils électroménagers de qualité pour simplifier votre quotidien. C'est pourquoi nous offrons une vaste sélection de produits allant des réfrigérateurs aux machines à café en passant par les robots multifonctions. Que ce soit pour équiper votre cuisine ou votre salon, notre gamme répond à toutes vos attentes. La Révolution de l'Électroménager : Tendances et Innovations FAQ - RÉPONSES À VOS QUESTIONS Voici quelques questions fréquentes sur l'achat d'électroménager chez Electro Hadj Kacem Quel site électroménager pas cher ? Si vous recherchez des électroménagers de qualité à des prix compétitifs en Tunisie, Electro Hadj Kacem est la réponse. Nous nous engageons à offrir les tarifs les plus abordables du marché tout en garantissant des produits de haute qualité. Vous pouvez faire vos achats en ligne en toute confiance, sachant que vous bénéficierez des meilleurs prix pour les appareils électroménagers de marques réputées. Comment choisir le réfrigérateur idéal pour mes besoins ? Notre équipe d'experts est à votre disposition pour vous guider dans le choix du réfrigérateur parfait, en fonction de votre espace, de vos besoins en stockage et de vos préférences. Comment acheter électroménager moins cher ? Pour acheter des électroménagers à des prix abordables en Tunisie, Electro Hadj Kacem est le choix idéal. Nous proposons régulièrement des promotions spéciales et des offres attractives sur une large gamme de produits électroménagers. De plus, notre engagement envers des tarifs compétitifs vous permet de réaliser des économies tout en bénéficiant de la qualité des marques de renom que nous vendons. Quelles sont les bonnes marques d'électroménager ? Lorsque vous recherchez des électroménagers de qualité en Tunisie, Electro Hadj Kacem vous propose un choix impressionnant de marques de renommée mondiale. Parmi nos marques partenaires, vous trouverez Tornado, Hoover, LG, Samsung, Whirlpool, Moulinex, et bien d'autres. Ces marques sont réputées pour leur fiabilité, leurs performances exceptionnelles et leur durabilité, ce qui en fait d'excellents choix pour répondre à vos besoins en électroménager. Comment puis-je contacter le service client d'Electro Hadj Kacem en cas de questions ou de problèmes ? Vous pouvez nous contacter via notre site web, par téléphone sur (+216) 94.117.117 ou (+216) 72.369.043 ou par e-mail contact@electrohadjkacem.com. Notre équipe du service client est là pour vous aider. Où acheter des électroménagers ? Chez Electro Hadj Kacem, notre objectif est de vous offrir la meilleure expérience d'achat en ligne en Tunisie, en mettant l'accent sur la qualité, la variété des marques, et des prix compétitifs pour tous vos besoins en électroménager. Vous pouvez acheter des électroménagers de qualité en ligne sur le site web d'Electro Hadj Kacem. Notre boutique en ligne propose une sélection complète d'appareils électroménagers, de la téléphonie aux réfrigérateurs en passant par les machines à laver, avec une livraison rapide dans toute la Tunisie. C'est l'endroit idéal pour trouver tout ce dont vous avez besoin pour équiper votre maison. Vous avez encore d'autres questions ? N'hésitez pas à nous contacter.​ Contactez-Nous C'est temps de passer vos commandes Parcourir nos rayons";"Électroménager de Qualité à Prix Compétitifs en Tunisie : Electro Hadj Kacem Si vous recherchez le meilleur choix d'appareils électroménagers de qualité à des prix compétitifs en Tunisie, ne cherchez pas plus loin. Electro Hadj Kacem est votre destination de confiance pour tous vos besoins en électroménager. Dans cet article, nous mettons en lumière les raisons pour lesquelles Electro Hadj Kacem est votre partenaire idéal pour l'électroménager en Tunisie.Electro Hadj Kacem est bien plus qu'une simple boutique en ligne d'électroménager en Tunisie, c'est votre partenaire de confiance pour équiper votre maison avec des appareils de qualité. Notre engagement envers l'électroménager de haute qualité nous a permis de devenir la référence incontestée dans le domaine. Que vous recherchiez un réfrigérateur, une machine à laver, un four, ou tout autre appareil, nous avons une gamme complète de produits des marques les plus réputées du marché. Chez Electro Hadj Kacem, l'électroménager n'est pas seulement notre métier, c'est notre passion.Lorsque vous faites vos achats d'électroménager chez Electro Hadj Kacem, vous bénéficiez de bien plus que des produits de qualité. Vous bénéficiez également de notre engagement envers un service client exceptionnel. Notre équipe dévouée est là pour répondre à toutes vos questions, vous guider dans votre choix et vous assurer que votre expérience d'achat est fluide et agréable. De plus, notre livraison rapide dans toute la Tunisie vous permet de recevoir vos appareils rapidement à votre porte, sans tracas ni soucis. Chez Electro Hadj Kacem, nous sommes fiers de simplifier la vie de nos clients en leur fournissant les meilleurs électroménagers et un service de classe mondiale.En choisissant Electro Hadj Kacem comme votre destination d'électroménager en Tunisie, vous optez pour la qualité, la fiabilité et la commodité. Nous sommes déterminés à vous fournir les meilleurs produits, des marques de confiance, et des prix compétitifs pour répondre à tous vos besoins en matière d'électroménager.Faites confiance à Electro Hadj Kacem pour équiper votre maisonLivraison Express dans Toute la TunisieChez Electro Hadj Kacem, nous comprenons l'importance de la livraison rapide. C'est pourquoi nous offrons une livraison express dans toute la Tunisie. Vous pouvez faire vos achats en ligne en toute tranquillité, sachant que vos produits vous parviendront rapidement à votre porte.Une Large Sélection de Produits de QualitéChez Electro Hadj Kacem, nous comprenons l'importance des appareils électroménagers de qualité pour simplifier votre quotidien. C'est pourquoi nous offrons une vaste sélection de produits allant des réfrigérateurs aux machines à café en passant par les robots multifonctions. Que ce soit pour équiper votre cuisine ou votre salon, notre gamme répond à toutes vos attentes. La Révolution de l'Électroménager : Tendances et Innovations FAQ - RÉPONSES À VOS QUESTIONS Voici quelques questions fréquentes sur l'achat d'électroménager chez Electro Hadj Kacem Quel site électroménager pas cher ? Si vous recherchez des électroménagers de qualité à des prix compétitifs en Tunisie, Electro Hadj Kacem est la réponse. Nous nous engageons à offrir les tarifs les plus abordables du marché tout en garantissant des produits de haute qualité. Vous pouvez faire vos achats en ligne en toute confiance, sachant que vous bénéficierez des meilleurs prix pour les appareils électroménagers de marques réputées. Comment choisir le réfrigérateur idéal pour mes besoins ? Notre équipe d'experts est à votre disposition pour vous guider dans le choix du réfrigérateur parfait, en fonction de votre espace, de vos besoins en stockage et de vos préférences. Comment acheter électroménager moins cher ? Pour acheter des électroménagers à des prix abordables en Tunisie, Electro Hadj Kacem est le choix idéal. Nous proposons régulièrement des promotions spéciales et des offres attractives sur une large gamme de produits électroménagers. De plus, notre engagement envers des tarifs compétitifs vous permet de réaliser des économies tout en bénéficiant de la qualité des marques de renom que nous vendons. Quelles sont les bonnes marques d'électroménager ? Lorsque vous recherchez des électroménagers de qualité en Tunisie, Electro Hadj Kacem vous propose un choix impressionnant de marques de renommée mondiale. Parmi nos marques partenaires, vous trouverez Tornado, Hoover, LG, Samsung, Whirlpool, Moulinex, et bien d'autres. Ces marques sont réputées pour leur fiabilité, leurs performances exceptionnelles et leur durabilité, ce qui en fait d'excellents choix pour répondre à vos besoins en électroménager. Comment puis-je contacter le service client d'Electro Hadj Kacem en cas de questions ou de problèmes ? Vous pouvez nous contacter via notre site web, par téléphone sur (+216) 94.117.117 ou (+216) 72.369.043 ou par e-mail contact@electrohadjkacem.com. Notre équipe du service client est là pour vous aider. Où acheter des électroménagers ? Chez Electro Hadj Kacem, notre objectif est de vous offrir la meilleure expérience d'achat en ligne en Tunisie, en mettant l'accent sur la qualité, la variété des marques, et des prix compétitifs pour tous vos besoins en électroménager. Vous pouvez acheter des électroménagers de qualité en ligne sur le site web d'Electro Hadj Kacem. Notre boutique en ligne propose une sélection complète d'appareils électroménagers, de la téléphonie aux réfrigérateurs en passant par les machines à laver, avec une livraison rapide dans toute la Tunisie. C'est l'endroit idéal pour trouver tout ce dont vous avez besoin pour équiper votre maison. Vous avez encore d'autres questions ? N'hésitez pas à nous contacter.​ Contactez-Nous C'est temps de passer vos commandes Parcourir nos rayons";;Information
"Électroménager à Nabeul";"Électroménager à Nabeul";;;"Achat Électroménager à Nabeul : Qualité, Variété et Livraison à Domicile Livraison Express dans Toute la TunisieNotre engagement envers nos clients inclut une livraison rapide à domicile. Que vous résidiez à Nabeul, Maamoura, Hammamet, ou toute autre ville du gouvernorat de Nabeul, nous livrons chez vous. Profitez de la commodité de la livraison dans l'heure à Nabeul et d'une livraison dans 48 heures dans toute la région. FAQ - RÉPONSES À VOS QUESTIONS Achat d'électroménager à nabeul chez Electro Hadj Kacem Quels sont les délais de livraison à Nabeul ? Si vous recherchez des électroménagers de qualité à des prix compétitifs à nabeul avec livraison rapide, Electro Hadj Kacem vous offre une livraison dans l'heure à Nabeul et une livraison dans 48 heures dans tout le gouvernorat de Nabeul. Proposez-vous des promotions spéciales ? Oui, nous proposons régulièrement des promotions et des réductions sur une large gamme d'électroménagers. Est-ce que vous vendez des smartphones et des tablettes ? Oui, nous proposons une variété de smartphones, de tablettes et d'accessoires. Quelles sont les bonnes marques d'électroménager ? Lorsque vous recherchez des électroménagers de qualité en Tunisie, Electro Hadj Kacem vous propose un choix impressionnant de marques de renommée mondiale. Parmi nos marques partenaires, vous trouverez Tornado, Hoover, LG, Samsung, Whirlpool, Moulinex, et bien d'autres. Comment puis-je obtenir des conseils d'achat personnalisés ? Vous pouvez nous contacter via notre site web, par téléphone sur (+216) 94.117.117 ou (+216) 72.369.043 ou par e-mail contact@electrohadjkacem.com. Notre équipe du service client est là pour vous aider. Comment puis-je passer une commande ? Vous pouvez passer une commande en ligne sur notre site web ou en nous rendant visite dans notre magasin à Maamoura. Vous avez encore d'autres questions ? N'hésitez pas à nous contacter.​ Contactez-Nous C'est temps de passer vos commandes Parcourir nos rayons";"Achat Électroménager à Nabeul : Qualité, Variété et Livraison à Domicile Livraison Express dans Toute la TunisieNotre engagement envers nos clients inclut une livraison rapide à domicile. Que vous résidiez à Nabeul, Maamoura, Hammamet, ou toute autre ville du gouvernorat de Nabeul, nous livrons chez vous. Profitez de la commodité de la livraison dans l'heure à Nabeul et d'une livraison dans 48 heures dans toute la région. FAQ - RÉPONSES À VOS QUESTIONS Achat d'électroménager à nabeul chez Electro Hadj Kacem Quels sont les délais de livraison à Nabeul ? Si vous recherchez des électroménagers de qualité à des prix compétitifs à nabeul avec livraison rapide, Electro Hadj Kacem vous offre une livraison dans l'heure à Nabeul et une livraison dans 48 heures dans tout le gouvernorat de Nabeul. Proposez-vous des promotions spéciales ? Oui, nous proposons régulièrement des promotions et des réductions sur une large gamme d'électroménagers. Est-ce que vous vendez des smartphones et des tablettes ? Oui, nous proposons une variété de smartphones, de tablettes et d'accessoires. Quelles sont les bonnes marques d'électroménager ? Lorsque vous recherchez des électroménagers de qualité en Tunisie, Electro Hadj Kacem vous propose un choix impressionnant de marques de renommée mondiale. Parmi nos marques partenaires, vous trouverez Tornado, Hoover, LG, Samsung, Whirlpool, Moulinex, et bien d'autres. Comment puis-je obtenir des conseils d'achat personnalisés ? Vous pouvez nous contacter via notre site web, par téléphone sur (+216) 94.117.117 ou (+216) 72.369.043 ou par e-mail contact@electrohadjkacem.com. Notre équipe du service client est là pour vous aider. Comment puis-je passer une commande ? Vous pouvez passer une commande en ligne sur notre site web ou en nous rendant visite dans notre magasin à Maamoura. Vous avez encore d'autres questions ? N'hésitez pas à nous contacter.​ Contactez-Nous C'est temps de passer vos commandes Parcourir nos rayons";;Information
"Électroménager pas cher à prix discount en Tunisie";"Électroménager pas cher à prix discount en Tunisie";;;"fer a repasser portable fer a repasser portable Fer À Repasser Fer À Repasser Vente électroménager en Tunisie : LG / FOCUS / CONDOR / BRANDT / TCL / HISENSE / MOULINEX / SAMSUNG / BEKO / SABA / IGNIS / MAXWELL / TELEFUNKEN / FLORENCE / TEFAL / BABYLISS / MONTBLANC / ORIENT / BIOLUX / CANDY / VEGA / FRANCO / LUXELL / OCEAN / SOTUFAB / NEWSTAR / INFINIX / MIDEA / Electro Hadj Kacem, votre référence en électroménager à prix compétitifs en Tunisie. PETITS ÉLECTRO .electro-cards-container * { backface-visibility: hidden; box-sizing: border-box; } .electro-cards-outer { /* padding: 20px; */ } .electro-cards-grid { display: grid; grid-template-columns: repeat(5, 1fr); /* Changed from 4 to 5 */ gap: 20px; /* padding: 20px; */ max-width: 1400px; margin: 0 auto; } .electro-card-wrapper { position: relative; height: 160px; } .electro-card-wrapper::before { content: ''; left: 0; top: 0; height: calc(100% - 10px); width: calc(100% - 10px); border-radius: 20px; opacity: 0; border: 2px solid var(--color1); position: absolute; z-index: -1; transition: all 0.5s ease 0.05s; } .electro-card-wrapper:hover::before { opacity: 1; } .electro-card-wrapper:hover { } .electro-card { background-color: white; border-radius: 20px; height: 100%; position: relative; overflow: hidden; box-shadow: none; transition: all 0.25s ease; display: block; } .electro-card-bg { height: 100%; width: 100%; position: absolute; top: 0; left: 0; background-size: cover; background-repeat: no-repeat; background-position: center; transition: all 0.25s ease; } .electro-card-wrapper:hover .electro-card { box-shadow: 3px 3px 8px rgba(0,0,0,0.1); } .electro-card-wrapper:nth-child(1) .electro-card-bg { background-image: url('https://electrohadjkacem.com/wp-content/uploads/2025/04/aspirateur.png'); } .electro-card-wrapper:nth-child(2) .electro-card-bg { background-image: url('https://electrohadjkacem.com/wp-content/uploads/2025/04/fer-a-repasser.png'); } .electro-card-wrapper:nth-child(3) .electro-card-bg { background-image: url('https://electrohadjkacem.com/wp-content/uploads/2025/04/SECHE-CHEVEUX-1.png'); } .electro-card-wrapper:nth-child(4) .electro-card-bg { background-image: url('https://electrohadjkacem.com/wp-content/uploads/2025/04/Cafetiere.png'); } .electro-card-wrapper:nth-child(5) .electro-card-bg { background-image: url('https://electrohadjkacem.com/wp-content/uploads/2025/04/mixeur.png'); } .electro-card-wrapper:nth-child(6) .electro-card-bg { background-image: url('https://electrohadjkacem.com/wp-content/uploads/2025/04/batteur.png'); } .electro-card-wrapper:nth-child(7) .electro-card-bg { background-image: url('https://electrohadjkacem.com/wp-content/uploads/2025/04/robot-petrin.png'); } .electro-card-wrapper:nth-child(8) .electro-card-bg { background-image: url('https://electrohadjkacem.com/wp-content/uploads/2025/04/Mixeur-Plongeant-1-1.png'); } /* Added two more background images */ .electro-card-wrapper:nth-child(9) .electro-card-bg { background-image: url('https://electrohadjkacem.com/wp-content/uploads/2025/05/Barbecue.png'); } .electro-card-wrapper:nth-child(10) .electro-card-bg { background-image: url('https://electrohadjkacem.com/wp-content/uploads/2025/05/PRESSE-AGRUMES.png'); } .electro-card-icon { position: absolute; bottom: 10px; right: 20px; border-radius: 50%; padding: 8px; font-size: 14px; color: var(--color3) !important; z-index: 2; background-color: rgba(255,255,255,0.9); width: 30px; height: 30px; display: flex; align-items: center; justify-content: center; transition: all 0.25s ease; } .electro-card-icon i { display: block !important; color: var(--color3) !important; } .electro-card-wrapper:hover .electro-card-icon { background-color: #1c61e7; } @media (max-width: 1200px) { .electro-cards-grid { grid-template-columns: repeat(4, 1fr); /* 4 columns for slightly smaller screens */ } } @media (max-width: 1024px) { .electro-cards-grid { grid-template-columns: repeat(3, 1fr); /* Changed from 3 to match new layout */ } } @media (max-width: 768px) { .electro-cards-grid { grid-template-columns: repeat(2, 1fr); gap: 15px; padding: 15px; } .electro-card-wrapper { height: 140px; } } @media (max-width: 480px) { .electro-cards-grid { gap: 10px; padding: 1px; } .electro-card-wrapper { height: 139px; } .electro-card-icon { bottom: 5px; right: 10px; width: 25px; height: 25px; font-size: 12px; } } Cuiseur à Riz Coffret Cheveux LISSEUR SÈCHE CHEVEUX Barbecue CENTRIFUGEUSE CUISEUR VAPEUR HACHOIR Panini &amp; Gaufrier Robot Pétrin PETIT ÉLECTRO Équipez votre cuisine avec le meilleur du petit électro, pour une touche de modernité et de praticité au quotidien. Rayon petit électroménager Rayon Smartphones PLAQUE DE CUISSON Équipez votre cuisine avec nos plaques de cuisson performantes et pas chères pour une expérience culinaire optimale. 2 Feux 4 Feux 5 Feux TABLE BASSE Table à manger Salle à Manger Porte chaussures MEUBLE TV Meuble De Séjour Meuble de rangement CHAISES BUREAUX Argentière";"fer a repasser portable fer a repasser portable Fer À Repasser Fer À Repasser Vente électroménager en Tunisie : LG / FOCUS / CONDOR / BRANDT / TCL / HISENSE / MOULINEX / SAMSUNG / BEKO / SABA / IGNIS / MAXWELL / TELEFUNKEN / FLORENCE / TEFAL / BABYLISS / MONTBLANC / ORIENT / BIOLUX / CANDY / VEGA / FRANCO / LUXELL / OCEAN / SOTUFAB / NEWSTAR / INFINIX / MIDEA / Electro Hadj Kacem, votre référence en électroménager à prix compétitifs en Tunisie. PETITS ÉLECTRO .electro-cards-container * { backface-visibility: hidden; box-sizing: border-box; } .electro-cards-outer { /* padding: 20px; */ } .electro-cards-grid { display: grid; grid-template-columns: repeat(5, 1fr); /* Changed from 4 to 5 */ gap: 20px; /* padding: 20px; */ max-width: 1400px; margin: 0 auto; } .electro-card-wrapper { position: relative; height: 160px; } .electro-card-wrapper::before { content: ''; left: 0; top: 0; height: calc(100% - 10px); width: calc(100% - 10px); border-radius: 20px; opacity: 0; border: 2px solid var(--color1); position: absolute; z-index: -1; transition: all 0.5s ease 0.05s; } .electro-card-wrapper:hover::before { opacity: 1; } .electro-card-wrapper:hover { } .electro-card { background-color: white; border-radius: 20px; height: 100%; position: relative; overflow: hidden; box-shadow: none; transition: all 0.25s ease; display: block; } .electro-card-bg { height: 100%; width: 100%; position: absolute; top: 0; left: 0; background-size: cover; background-repeat: no-repeat; background-position: center; transition: all 0.25s ease; } .electro-card-wrapper:hover .electro-card { box-shadow: 3px 3px 8px rgba(0,0,0,0.1); } .electro-card-wrapper:nth-child(1) .electro-card-bg { background-image: url('https://electrohadjkacem.com/wp-content/uploads/2025/04/aspirateur.png'); } .electro-card-wrapper:nth-child(2) .electro-card-bg { background-image: url('https://electrohadjkacem.com/wp-content/uploads/2025/04/fer-a-repasser.png'); } .electro-card-wrapper:nth-child(3) .electro-card-bg { background-image: url('https://electrohadjkacem.com/wp-content/uploads/2025/04/SECHE-CHEVEUX-1.png'); } .electro-card-wrapper:nth-child(4) .electro-card-bg { background-image: url('https://electrohadjkacem.com/wp-content/uploads/2025/04/Cafetiere.png'); } .electro-card-wrapper:nth-child(5) .electro-card-bg { background-image: url('https://electrohadjkacem.com/wp-content/uploads/2025/04/mixeur.png'); } .electro-card-wrapper:nth-child(6) .electro-card-bg { background-image: url('https://electrohadjkacem.com/wp-content/uploads/2025/04/batteur.png'); } .electro-card-wrapper:nth-child(7) .electro-card-bg { background-image: url('https://electrohadjkacem.com/wp-content/uploads/2025/04/robot-petrin.png'); } .electro-card-wrapper:nth-child(8) .electro-card-bg { background-image: url('https://electrohadjkacem.com/wp-content/uploads/2025/04/Mixeur-Plongeant-1-1.png'); } /* Added two more background images */ .electro-card-wrapper:nth-child(9) .electro-card-bg { background-image: url('https://electrohadjkacem.com/wp-content/uploads/2025/05/Barbecue.png'); } .electro-card-wrapper:nth-child(10) .electro-card-bg { background-image: url('https://electrohadjkacem.com/wp-content/uploads/2025/05/PRESSE-AGRUMES.png'); } .electro-card-icon { position: absolute; bottom: 10px; right: 20px; border-radius: 50%; padding: 8px; font-size: 14px; color: var(--color3) !important; z-index: 2; background-color: rgba(255,255,255,0.9); width: 30px; height: 30px; display: flex; align-items: center; justify-content: center; transition: all 0.25s ease; } .electro-card-icon i { display: block !important; color: var(--color3) !important; } .electro-card-wrapper:hover .electro-card-icon { background-color: #1c61e7; } @media (max-width: 1200px) { .electro-cards-grid { grid-template-columns: repeat(4, 1fr); /* 4 columns for slightly smaller screens */ } } @media (max-width: 1024px) { .electro-cards-grid { grid-template-columns: repeat(3, 1fr); /* Changed from 3 to match new layout */ } } @media (max-width: 768px) { .electro-cards-grid { grid-template-columns: repeat(2, 1fr); gap: 15px; padding: 15px; } .electro-card-wrapper { height: 140px; } } @media (max-width: 480px) { .electro-cards-grid { gap: 10px; padding: 1px; } .electro-card-wrapper { height: 139px; } .electro-card-icon { bottom: 5px; right: 10px; width: 25px; height: 25px; font-size: 12px; } } Cuiseur à Riz Coffret Cheveux LISSEUR SÈCHE CHEVEUX Barbecue CENTRIFUGEUSE CUISEUR VAPEUR HACHOIR Panini &amp; Gaufrier Robot Pétrin PETIT ÉLECTRO Équipez votre cuisine avec le meilleur du petit électro, pour une touche de modernité et de praticité au quotidien. Rayon petit électroménager Rayon Smartphones PLAQUE DE CUISSON Équipez votre cuisine avec nos plaques de cuisson performantes et pas chères pour une expérience culinaire optimale. 2 Feux 4 Feux 5 Feux TABLE BASSE Table à manger Salle à Manger Porte chaussures MEUBLE TV Meuble De Séjour Meuble de rangement CHAISES BUREAUX Argentière";;Information
Page d’exemple;Page d’exemple;;;"<!-- wp:paragraph -->
<p>Ceci est une page d’exemple. C’est différent d’un article de blog parce qu’elle restera au même endroit et apparaîtra dans la navigation de votre site (dans la plupart des thèmes). La plupart des gens commencent par une page «&nbsp;À propos&nbsp;» qui les présente aux personnes visitant le site. Cela pourrait ressembler à quelque chose comme cela&nbsp;:</p>
<!-- /wp:paragraph -->

<!-- wp:quote -->
<blockquote class=""wp-block-quote""><!-- wp:paragraph -->
<p>Bonjour&nbsp;! Je suis un mécanicien qui aspire à devenir acteur, et voici mon site. J’habite à Bordeaux, j’ai un super chien baptisé Russell, et j’aime la vodka (ainsi qu’être surpris par la pluie soudaine lors de longues balades sur la plage au coucher du soleil).</p>
<!-- /wp:paragraph --></blockquote>
<!-- /wp:quote -->

<!-- wp:paragraph -->
<p>…ou quelque chose comme cela&nbsp;:</p>
<!-- /wp:paragraph -->

<!-- wp:quote -->
<blockquote class=""wp-block-quote""><!-- wp:paragraph -->
<p>La société 123 Machin Truc a été créée en 1971, et n’a cessé de proposer au public des machins-trucs de qualité depuis lors. Située à Saint-Remy-en-Bouzemont-Saint-Genest-et-Isson, 123 Machin Truc emploie 2 000 personnes, et fabrique toutes sortes de bidules supers pour la communauté bouzemontoise.</p>
<!-- /wp:paragraph --></blockquote>
<!-- /wp:quote -->

<!-- wp:paragraph -->
<p>En tant que nouvel utilisateur ou utilisatrice de WordPress, vous devriez vous rendre sur <a href=""https://electrohadjkacem.com/wp-admin/"">votre tableau de bord</a> pour supprimer cette page et créer de nouvelles pages pour votre contenu. Amusez-vous bien&nbsp;!</p>
<!-- /wp:paragraph -->";"<!-- wp:paragraph -->
<p>Ceci est une page d’exemple. C’est différent d’un article de blog parce qu’elle restera au même endroit et apparaîtra dans la navigation de votre site (dans la plupart des thèmes). La plupart des gens commencent par une page «&nbsp;À propos&nbsp;» qui les présente aux personnes visitant le site. Cela pourrait ressembler à quelque chose comme cela&nbsp;:</p>
<!-- /wp:paragraph -->

<!-- wp:quote -->
<blockquote class=""wp-block-quote""><!-- wp:paragraph -->
<p>Bonjour&nbsp;! Je suis un mécanicien qui aspire à devenir acteur, et voici mon site. J’habite à Bordeaux, j’ai un super chien baptisé Russell, et j’aime la vodka (ainsi qu’être surpris par la pluie soudaine lors de longues balades sur la plage au coucher du soleil).</p>
<!-- /wp:paragraph --></blockquote>
<!-- /wp:quote -->

<!-- wp:paragraph -->
<p>…ou quelque chose comme cela&nbsp;:</p>
<!-- /wp:paragraph -->

<!-- wp:quote -->
<blockquote class=""wp-block-quote""><!-- wp:paragraph -->
<p>La société 123 Machin Truc a été créée en 1971, et n’a cessé de proposer au public des machins-trucs de qualité depuis lors. Située à Saint-Remy-en-Bouzemont-Saint-Genest-et-Isson, 123 Machin Truc emploie 2 000 personnes, et fabrique toutes sortes de bidules supers pour la communauté bouzemontoise.</p>
<!-- /wp:paragraph --></blockquote>
<!-- /wp:quote -->

<!-- wp:paragraph -->
<p>En tant que nouvel utilisateur ou utilisatrice de WordPress, vous devriez vous rendre sur <a href=""https://electrohadjkacem.com/wp-admin/"">votre tableau de bord</a> pour supprimer cette page et créer de nouvelles pages pour votre contenu. Amusez-vous bien&nbsp;!</p>
<!-- /wp:paragraph -->";;Information
